,Correlation,PValue
dot/ada,0.9669013679328358,4.304446887971899e-152
sol/avax,0.9562272876566277,4.966045378779541e-137
dot/btc,0.9505336858798219,1.8045616411176502e-130
dot/avax,0.950293558366613,3.279153777423681e-130
avax/btc,0.9458507086010403,1.2467172823935236e-125
dot/sol,0.938835246388901,3.92159497332956e-119
trx/btc,0.937691411818716,3.797271247350042e-118
sol/btc,0.9290340253344372,3.054864132718217e-111
ada/avax,0.923317824041757,3.807229666231958e-107
ada/btc,0.9211866332609137,1.0634898927120074e-105
ftm/avax,0.9203704005254821,3.713746328153941e-105
sol/ada,0.9198047193959907,8.765722693396599e-105
trx/sol,0.9106415907913653,4.246755003990248e-99
trx/avax,0.9047588031052675,9.207520753244864e-96
ftm/btc,0.9034444276883051,4.78449269432067e-95
dot/ftm,0.9017851973495663,3.7048125705687446e-94
dot/trx,0.9017155185174698,4.034120731576582e-94
sol/ftm,0.8887270370611505,1.133508404612274e-87
ada/ftm,0.8723169470099307,1.3822613958640886e-80
trx/ada,0.8714204683733235,3.1557422766125677e-80
eos/eth,0.8651486797764101,8.594585219318651e-78
trx/ftm,0.8605331249512721,4.4597508142219584e-76
xmr/eth,0.849570257600267,3.070946120156393e-72
avax/eth,0.8265888863073804,4.194391444883439e-65
eos/avax,0.8236960486081429,2.7926396772899002e-64
eos/etc,0.7882559669875819,2.8165717038061385e-55
eth/btc,0.7789485873089393,3.3995108799217014e-53
bnb/eth,0.7618849803665343,1.2489018980714726e-49
eos/dot,0.7580900476569404,7.061177424355706e-49
ftm/eth,0.7522669564517124,9.477293868166232e-48
eos/ada,0.7459785182073043,1.4451367956342075e-46
dot/eth,0.7425881584955725,6.073974364968031e-46
eos/btc,0.7311540609816223,6.548323156711605e-44
eos/ftm,0.7266275458943664,3.910537498836818e-43
etc/eth,0.7165997740959194,1.8085660110221795e-41
sol/eth,0.7131607234208118,6.484536079125351e-41
eos/sol,0.711529505510669,1.180496364631341e-40
ada/eth,0.7028882771085946,2.6347481225467824e-39
xmr/bnb,0.7011077014048063,4.927293002117475e-39
trx/eth,0.69296219683148,8.148243850855479e-38
xmr/ftm,0.6565124047303809,7.968285213530324e-33
eos/xmr,0.6548398273606384,1.2996334230552533e-32
eos/trx,0.652249974489922,2.755153357067296e-32
etc/bnb,0.6202293460161497,1.6811216491745604e-28
xmr/btc,0.6117616109339592,1.4291409694882648e-27
bnb/xrp,0.6097126171358482,2.375744860216518e-27
eos/bnb,0.607949828955895,3.667867169136264e-27
xmr/avax,0.5994396968511504,2.8750494275617175e-26
xmr/etc,0.5620070008892961,1.2390471173482296e-22
xmr/trx,0.5530151447036153,7.928568632891702e-22
bnb/doge,0.543132863292679,5.721495701236689e-21
xmr/dot,0.5385570829592975,1.3977903419043498e-20
etc/avax,0.5267334141851698,1.3211942626153081e-19
bnb/avax,0.5179414204638104,6.637849359113433e-19
xmr/ada,0.509018234767933,3.259093106365934e-18
xmr/sol,0.49650200352059526,2.8116674604035314e-17
bnb/ftm,0.4736404636693962,1.154952852714842e-15
bnb/btc,0.4481911562411701,5.280756811290682e-14
dot/bnb,0.44405343698888783,9.545531457076882e-14
xrp/eth,0.4336226153088312,4.098966307470985e-13
etc/ada,0.43060112216213586,6.194231978251818e-13
etc/dot,0.41428890639998867,5.367993703538721e-12
etc/sol,0.40622090425064394,1.4972093536180235e-11
etc/ftm,0.4057704050757779,1.5841865035687106e-11
bnb/sol,0.4043522124374362,1.8913355967447287e-11
etc/btc,0.3832791661208664,2.3897593076377376e-10
bnb/ada,0.3688421505147402,1.2275783583928736e-09
trx/bnb,0.3615853166512408,2.711792814524539e-09
xmr/doge,0.3581289736604026,3.928232451459433e-09
doge/xrp,0.3489485989346052,1.0290051705367227e-08
xmr/xrp,0.33589608124572884,3.8401888014812025e-08
etc/xrp,0.3122339989568035,3.5941557060284843e-07
etc/trx,0.30474086865146294,7.016255901889585e-07
etc/luna,0.27618131069036017,7.607037193522394e-06
eos/xrp,0.26849292861171786,1.3832910190389342e-05
doge/eth,0.26523621736735464,1.772376664653853e-05
doge/ftm,0.21368329521208587,0.0005920154599309761
ada/luna,0.20676983132174778,0.0008950453877484874
xrp/avax,0.18712414017458093,0.002699834518026927
sol/xrp,0.18310108888988275,0.0033422314224107277
eos/luna,0.18025780324730634,0.003876525769426389
xrp/btc,0.1799100346711151,0.003946913004844632
luna/btc,0.1602795486831277,0.01036290997228991
trx/luna,0.15031956572886324,0.016293092456165868
dot/luna,0.1324154648124832,0.03456382958619455
trx/xrp,0.11829869399340937,0.05923746874175097
xrp/luna,0.11692395299569838,0.06227226171212082
doge/avax,0.11667605089511786,0.06283289320809561
doge/btc,0.11645282057581706,0.06334127258216286
sol/luna,0.1065796381269125,0.08942862227076738
dot/xrp,0.10435729106475916,0.09635086187519308
luna/avax,0.08945285960424451,0.15436358037807138
ada/xrp,0.07874764112990501,0.21010821696006513
dot/doge,0.07786109771234012,0.21530278300219
trx/doge,0.0728699472463805,0.24626677317492865
sol/doge,0.06983712914217674,0.2665306594135226
ftm/xrp,0.04670388522365648,0.4577587825639937
luna/eth,0.026333926372737734,0.6755628409952972
doge/ada,-0.006833881549191046,0.913524955090086
ftm/luna,-0.01852699698005571,0.7684338135766805
bnb/luna,-0.03180702655839338,0.6131725905132186
eos/doge,-0.03702297140904328,0.5561922987830467
xmr/luna,-0.07057318549822073,0.261510916617701
etc/doge,-0.1393708604419891,0.026046855242071322
doge/luna,-0.4896188914510296,8.861826671300028e-17
