,btc,eth,avax,luna,xrp,ftm,ada,doge,sol,bnb,trx,dot,etc,xmr,eos
2022-01-27,37189.85,2425.83,64.74,0.0,0.6085,2.08,1.043,0.1415,89.56,390.18,0.05653,18.12,24.33,144.69,2.229
2022-01-28,37744.7,2547.03,67.07,0.0,0.6116,2.126,1.049,0.1415,91.36,385.99,0.05757,18.34,25.23,149.14,2.311
2022-01-29,38184.86,2603.1,71.96,0.0,0.6175,2.097,1.06,0.143,96.16,389.46,0.06031,18.71,25.34,153.74,2.339
2022-01-30,37908.44,2603.24,68.04,0.0,0.6019,2.029,1.036,0.1394,93.32,377.79,0.05866,18.19,24.92,148.09,2.319
2022-01-31,38494.66,2689.14,69.91,0.0,0.6175,2.043,1.052,0.1417,99.54,374.4,0.05908,19.39,25.68,147.48,2.34
2022-02-01,38721.49,2790.15,73.37,0.0,0.6286,2.069,1.096,0.1425,110.09,384.28,0.05982,19.58,26.79,146.3,2.359
2022-02-02,36918.19,2681.11,67.87,0.0,0.6012,1.921,1.027,0.1371,101.89,367.26,0.05852,18.8,26.3,145.16,2.273
2022-02-03,37328.64,2697.18,68.47,0.0,0.6099,1.959,1.061,0.138,101.9,372.39,0.05979,18.93,27.87,147.03,2.31
2022-02-04,41590.34,2997.18,77.88,0.0,0.6558,2.125,1.139,0.148,112.58,399.77,0.06443,20.48,29.71,165.39,2.481
2022-02-05,41418.21,3015.26,77.1,0.0,0.6664,2.091,1.126,0.1469,113.82,414.05,0.0647,21.36,29.41,168.75,2.479
2022-02-06,42412.41,3057.68,79.05,0.0,0.6837,2.164,1.144,0.1541,115.33,420.34,0.0662,21.92,29.89,173.79,2.54
2022-02-07,43861.07,3141.38,83.18,0.0,0.8318,2.315,1.199,0.1653,117.57,433.75,0.06853,22.37,32.61,185.08,2.692
2022-02-08,44080.12,3118.76,86.45,0.0,0.8759,2.205,1.176,0.1583,113.42,408.09,0.06807,21.66,32.02,178.83,2.631
2022-02-09,44422.91,3246.72,90.18,0.0,0.8701,2.256,1.195,0.1595,114.04,423.24,0.06994,21.97,33.84,185.93,2.67
2022-02-10,43531.67,3074.84,91.18,0.0,0.8256,2.104,1.152,0.1516,106.18,414.79,0.0685,20.51,34.4,179.37,2.556
2022-02-11,42398.98,2928.93,81.81,0.0,0.7596,1.941,1.08,0.1448,96.52,400.83,0.064,18.99,32.73,169.24,2.418
2022-02-12,42239.01,2918.34,81.31,0.0,0.8226,1.952,1.059,0.1445,95.96,403.6,0.06352,18.82,31.67,173.76,2.399
2022-02-13,42069.84,2872.44,77.93,0.0,0.8061,1.892,1.043,0.1482,92.9,398.07,0.06431,18.75,32.49,173.96,2.387
2022-02-14,42552.28,2931.12,81.89,0.0,0.8015,1.927,1.05,0.1458,96.43,403.71,0.06444,18.7,31.43,176.41,2.377
2022-02-15,44576.33,3185.81,93.01,0.0,0.8524,2.091,1.109,0.1518,105.54,432.82,0.06686,20.18,33.49,182.65,2.531
2022-02-16,43896.34,3124.33,95.41,0.0,0.8371,2.069,1.083,0.1488,101.94,427.59,0.06642,19.78,32.25,179.27,2.55
2022-02-17,40545.09,2894.42,88.28,0.0,0.7677,1.898,1.021,0.1385,93.58,402.64,0.06251,18.17,29.43,163.92,2.328
2022-02-18,39994.66,2780.72,83.76,0.0,0.785,1.865,0.9959,0.1386,89.93,399.39,0.0631,17.84,28.97,160.63,2.3
2022-02-19,40107.12,2764.5,85.08,0.0,0.8218,1.876,0.997,0.141,91.31,399.84,0.06348,17.86,28.71,161.2,2.285
2022-02-20,38397.25,2622.7,77.38,0.0,0.7767,1.725,0.9319,0.1368,90.75,380.68,0.06199,16.92,27.23,153.88,2.201
2022-02-21,37037.39,2570.15,70.1,0.0,0.7019,1.54,0.8578,0.1282,82.99,356.82,0.05955,16.19,25.01,147.94,2.077
2022-02-22,38267.75,2638.81,74.43,0.0,0.7215,1.614,0.8883,0.1314,86.44,374.49,0.06266,16.61,26.65,150.99,2.17
2022-02-23,37270.85,2580.97,73.49,0.0,0.6962,1.571,0.866,0.1274,84.61,365.88,0.0608,15.97,26.52,149.01,2.109
2022-02-24,38353.62,2597.94,76.5,0.0,0.6963,1.489,0.8532,0.1241,89.41,360.45,0.06109,16.18,26.55,147.14,2.072
2022-02-25,39239.77,2769.0,81.05,0.0,0.7698,1.723,0.8996,0.1278,92.84,375.01,0.05941,17.28,28.01,153.75,2.149
2022-02-26,39134.83,2780.32,81.79,0.0,0.751,1.768,0.8872,0.1277,90.29,373.86,0.05961,18.02,28.91,157.88,2.161
2022-02-27,37714.96,2617.32,75.08,0.0,0.7217,1.585,0.8568,0.1229,85.66,359.83,0.05805,17.49,27.37,150.65,2.097
2022-02-28,43189.46,2919.85,84.61,0.0,0.7819,1.782,0.9643,0.1334,99.75,396.03,0.0618,18.98,30.57,170.29,2.287
2022-03-01,44428.47,2976.59,86.85,0.0,0.7844,1.831,0.9631,0.134,98.65,408.83,0.06219,18.9,30.35,177.83,2.262
2022-03-02,43935.37,2949.03,83.39,0.0,0.7692,2.015,0.939,0.1332,100.75,409.32,0.06153,18.61,29.57,177.49,2.211
2022-03-03,42474.37,2833.71,78.61,0.0,0.7521,1.871,0.9023,0.1297,95.6,402.77,0.06001,18.03,30.24,172.1,2.16
2022-03-04,39154.4,2622.51,75.56,0.0,0.7126,1.663,0.8446,0.1225,88.24,374.15,0.05827,16.79,27.63,159.79,2.001
2022-03-05,39407.02,2666.18,76.67,0.0,0.7542,1.688,0.8654,0.125,89.61,384.81,0.06041,17.32,27.81,166.05,2.049
2022-03-06,38428.92,2552.58,72.46,0.0,0.7249,1.41,0.823,0.1207,84.55,374.84,0.05888,16.97,26.55,158.94,1.961
2022-03-07,38030.63,2496.67,71.82,0.0,0.7205,1.319,0.7955,0.1169,81.88,380.84,0.05866,16.42,26.19,157.99,1.921
2022-03-08,38748.52,2579.18,72.98,0.0,0.721,1.324,0.802,0.1171,82.31,381.48,0.06058,16.99,26.77,203.34,1.978
2022-03-09,41962.85,2733.05,77.61,0.0,0.7659,1.371,0.8489,0.1214,88.07,393.4,0.06082,17.87,28.05,188.63,2.063
2022-03-10,39443.42,2608.64,73.95,0.0,0.7364,1.24,0.8068,0.1168,82.93,372.13,0.05989,16.97,26.7,179.47,1.982
2022-03-11,38741.03,2557.57,71.2,0.0,0.8028,1.2,0.7884,0.1154,80.67,372.02,0.06022,17.71,26.47,170.65,1.979
2022-03-12,38805.53,2569.87,70.94,0.0,0.786,1.185,0.7882,0.1149,81.41,372.46,0.05965,18.14,26.29,184.99,1.97
2022-03-13,37796.31,2516.83,68.04,0.0,0.7604,1.116,0.7905,0.1116,78.76,361.36,0.05937,17.2,25.4,175.97,1.909
2022-03-14,39696.28,2591.45,69.02,0.0,0.7749,1.084,0.8029,0.114,81.26,373.49,0.06008,17.7,25.94,185.57,1.97
2022-03-15,39314.86,2619.61,69.81,0.0,0.7661,1.198,0.799,0.1126,82.85,371.76,0.06052,17.81,25.84,183.33,1.984
2022-03-16,41133.64,2775.15,74.12,0.0,0.7927,1.271,0.839,0.1171,87.84,385.68,0.06109,19.05,27.36,189.41,2.089
2022-03-17,40956.79,2814.64,79.47,0.0,0.794,1.204,0.8369,0.1164,87.88,392.14,0.06074,18.75,27.15,187.81,2.089
2022-03-18,41790.97,2941.32,85.72,0.0,0.7969,1.247,0.8522,0.1192,89.81,397.44,0.06166,18.97,28.05,195.11,2.13
2022-03-19,42235.02,2952.64,89.58,0.0,0.82,1.317,0.9032,0.1237,92.41,400.1,0.0619,19.41,33.92,197.68,2.219
2022-03-20,41243.16,2861.26,84.75,0.0,0.8055,1.253,0.8775,0.1193,88.6,390.87,0.06155,18.66,38.14,194.52,2.218
2022-03-21,41043.9,2895.01,86.19,0.0,0.8384,1.259,0.9186,0.1193,88.65,396.15,0.06178,18.78,38.42,191.48,2.349
2022-03-22,42380.11,2970.47,83.98,0.0,0.837,1.273,0.9758,0.1225,90.47,404.31,0.06344,20.22,50.74,193.79,2.55
2022-03-23,42904.1,3037.3,86.02,0.0,0.8378,1.306,1.108,0.1299,94.89,408.6,0.06432,21.01,45.18,197.29,2.5
2022-03-24,44006.77,3112.85,87.57,0.0,0.8429,1.317,1.131,0.1368,102.39,414.39,0.06565,21.26,48.66,203.83,2.547
2022-03-25,44331.36,3104.04,83.58,0.0,0.8245,1.351,1.097,0.1309,98.65,410.37,0.06434,20.54,48.15,199.63,2.509
2022-03-26,44542.31,3146.36,86.02,0.0,0.8332,1.399,1.153,0.1361,101.79,416.23,0.06633,20.93,47.21,207.02,2.518
2022-03-27,46842.14,3296.46,89.98,0.0,0.8579,1.437,1.184,0.1448,107.08,430.8,0.06908,22.47,48.03,215.74,2.669
2022-03-28,47128.71,3334.29,89.59,0.0,0.8636,1.401,1.17,0.1424,105.93,430.15,0.06885,22.0,47.2,214.68,2.854
2022-03-29,47445.3,3402.62,92.88,0.0,0.8581,1.416,1.191,0.1444,111.78,434.48,0.06938,22.47,49.27,222.07,2.893
2022-03-30,47056.41,3385.11,95.72,0.0,0.8612,1.408,1.189,0.143,120.64,442.0,0.07334,22.42,49.66,221.53,2.938
2022-03-31,45522.65,3282.78,97.4,0.0,0.8148,1.431,1.142,0.1381,122.84,428.82,0.07389,21.35,47.49,212.69,2.828
2022-04-01,46299.75,3455.72,96.81,0.0,0.8279,1.59,1.165,0.1413,134.54,447.8,0.07494,22.05,47.16,218.13,2.833
2022-04-02,45822.28,3444.68,95.91,0.0,0.8241,1.536,1.156,0.1388,132.51,437.17,0.07319,22.59,45.51,212.55,2.783
2022-04-03,46414.26,3522.49,98.14,0.0,0.8429,1.628,1.186,0.1465,136.91,450.26,0.0731,23.2,46.72,217.2,2.845
2022-04-04,46609.36,3520.15,96.05,0.0,0.8265,1.55,1.212,0.1484,132.13,447.85,0.07071,22.9,46.76,222.1,2.885
2022-04-05,45501.58,3406.48,90.99,0.0,0.817,1.448,1.171,0.1724,126.83,444.61,0.06929,21.78,44.4,222.28,2.757
2022-04-06,43177.78,3168.91,82.94,0.0,0.7598,1.307,1.053,0.1434,112.99,420.17,0.06308,19.85,38.44,213.26,2.429
2022-04-07,43466.21,3229.28,87.66,0.0,0.7877,1.349,1.09,0.146,118.6,436.34,0.06434,20.41,43.45,226.53,2.507
2022-04-08,42273.38,3192.92,83.75,0.0,0.7551,1.248,1.025,0.1426,109.97,421.78,0.06262,19.43,40.62,217.09,2.386
2022-04-09,42768.61,3259.62,84.56,0.0,0.7623,1.301,1.045,0.1442,112.96,426.93,0.06394,19.77,41.96,240.01,2.419
2022-04-10,42153.77,3202.89,80.99,0.0,0.7545,1.255,1.027,0.1482,111.02,417.93,0.06236,19.23,40.32,235.54,2.362
2022-04-11,39536.71,2979.52,74.36,0.0,0.6949,1.119,0.9197,0.1342,99.65,394.3,0.05811,17.2,37.01,225.92,2.167
2022-04-12,40086.66,3028.77,76.33,0.0,0.7151,1.162,0.9542,0.1381,103.26,413.73,0.05988,17.77,38.13,232.37,2.246
2022-04-13,41150.33,3118.5,80.19,0.0,0.7232,1.193,0.9747,0.1399,104.97,423.35,0.0615,18.19,38.53,237.09,2.356
2022-04-14,39951.63,3021.76,76.83,0.0,0.7263,1.152,0.9323,0.1441,100.77,414.75,0.06014,17.92,37.06,229.5,2.309
2022-04-15,40563.69,3041.21,77.44,0.0,0.7857,1.179,0.956,0.146,101.35,417.39,0.06182,18.36,37.36,239.49,2.42
2022-04-16,40392.55,3060.28,77.79,0.0,0.7809,1.155,0.9516,0.1436,102.1,417.25,0.06184,18.61,38.13,236.29,2.61
2022-04-17,39688.16,2988.4,75.44,0.0,0.7522,1.114,0.9151,0.1393,100.18,406.71,0.06009,17.76,36.59,241.49,2.42
